'Sylas', 'Zac', 'Lissandra', 'Veigar', 'Jhin', 'Shyvana', 'Leona', 'Aurelion Sol', "Kog'Maw", 'Akali'
'Kayle', 'Jarvan IV', 'Syndra', 'Tristana', 'Rakan', 'Rumble', 'Graves', 'Twisted Fate', "Kai'Sa", 'Leona'
'Garen', 'Gragas', 'Akali', "Kai'Sa", 'Pyke', 'Yasuo', 'Lee Sin', 'Teemo', 'Varus', 'Thresh'
'Mordekaiser', 'Ekko', 'Katarina', 'Ezreal', 'Yuumi', 'Shen', 'Elise', 'Vladimir', "Kai'Sa", 'Rakan'
'Jax', 'Taliyah', 'Syndra', "Kai'Sa", 'Thresh', 'Renekton', 'Kindred', 'Ryze', 'Ezreal', 'Bard'
'Kayle', 'Sylas', 'LeBlanc', "Kai'Sa", 'Bard', 'Irelia', 'Lee Sin', 'Ekko', 'Ezreal', 'Lux'
'Irelia', 'Ekko', 'Qiyana', 'Ezreal', 'Karma', 'Vladimir', 'Nidalee', 'Jayce', 'Xayah', 'Swain'
'Garen', 'Elise', 'Qiyana', 'Ezreal', 'Nami', 'Kennen', 'Ekko', 'Irelia', "Kai'Sa", 'Lux'
'Ahri', 'Kayn', 'Akali', 'Jinx', 'Fiddlesticks', 'Jayce', 'Vi', 'Yasuo', 'Ezreal', 'Karma'
'Irelia', 'Pantheon', 'Fizz', "Kai'Sa", 'Brand', 'Quinn', "Rek'Sai", 'Twisted Fate', 'Ezreal', 'Karma'
'Aatrox', 'Elise', 'Ahri', "Kai'Sa", 'Morgana', 'Gangplank', 'Olaf', 'Zoe', 'Ezreal', 'Soraka'
'Fiora', "Rek'Sai", 'Cassiopeia', 'Caitlyn', 'Morgana', 'Irelia', 'Lee Sin', 'Zilean', 'Ezreal', 'Blitzcrank'
'Fiora', 'Lee Sin', 'Viktor', "Kai'Sa", 'Pyke', 'Irelia', 'Gragas', 'Cassiopeia', 'Lucian', 'Yuumi'
'Vladimir', "Kha'Zix", 'Ekko', 'Ezreal', 'Volibear', 'Ryze', 'Lee Sin', 'Zed', 'Miss Fortune', 'Zilean'
'Camille', 'Gragas', 'Zoe', 'Lucian', 'Thresh', 'Karma', 'Kindred', 'Galio', 'Miss Fortune', 'Bard'
'Shen', 'Rengar', 'Vladimir', 'Ezreal', 'Braum', 'Illaoi', 'Ekko', 'Galio', 'Miss Fortune', 'Nautilus'
'Rengar', 'Lee Sin', 'Kled', 'Miss Fortune', 'Bard', 'Gangplank', 'Taliyah', 'Ryze', "Kai'Sa", 'Volibear'
'Tristana', 'Lee Sin', 'Zoe', 'Twitch', 'Taric', 'Rengar', 'Camille', 'Ahri', "Kai'Sa", 'Gragas'
'Camille', 'Kindred', 'Galio', 'Miss Fortune', 'Nautilus', 'Gangplank', 'Poppy', 'Ahri', 'Draven', 'Thresh'
'Ornn', 'Lee Sin', 'Kennen', 'Ashe', 'Nautilus', 'Jayce', 'Kindred', 'Galio', 'Miss Fortune', 'Taric'
'Pantheon', 'Ekko', 'Xerath', 'Xayah', 'Rakan', 'Ryze', "Rek'Sai", 'Vladimir', "Kai'Sa", 'Fiddlesticks'
'Vladimir', 'Kindred', 'Galio', 'Ashe', 'Morgana', 'Quinn', 'Zac', 'Akali', "Kai'Sa", 'Zyra'
'Akali', 'Lee Sin', 'Zoe', 'Lucian', 'Leona', 'Kled', 'Xin Zhao', 'Darius', 'Ezreal', 'Soraka'
'Karma', 'Qiyana', 'Kled', 'Lucian', 'Rakan', 'Renekton', 'Taliyah', 'Garen', 'Tristana', 'Leona'
'Kennen', "Kha'Zix", 'Zed', 'Miss Fortune', 'Morgana', 'Kayle', 'Karthus', 'Zoe', 'Lucian', 'Lux'
"Cho'Gath", 'Nunu & Willump', 'Aurelion Sol', "Kai'Sa", 'Thresh', 'Fiora', 'Nidalee', 'Zoe', 'Xayah', 'Nautilus'
'Renekton', 'Ekko', 'Orianna', "Kai'Sa", 'Janna', 'Garen', 'Qiyana', 'Zoe', 'Ezreal', 'Soraka'
'Viktor', 'Lee Sin', 'Kassadin', "Kai'Sa", 'Pyke', 'Camille', 'Qiyana', 'Taliyah', 'Lucian', 'Swain'
'Kassadin', 'Sejuani', 'Ryze', 'Lucian', 'Leona', 'Kennen', 'Nocturne', 'Camille', 'Ezreal', 'Braum'
'Jax', "Kha'Zix", 'Qiyana', 'Xayah', 'Janna', 'Zilean', 'Elise', 'Nocturne', "Kai'Sa", 'Blitzcrank'
'Renekton', 'Ivern', 'Nocturne', 'Jhin', 'Morgana', 'Jayce', 'Sylas', 'Camille', 'Xayah', 'Zoe'
'Vladimir', 'Ekko', 'Aatrox', 'Ashe', 'Volibear', 'Camille', 'Nidalee', 'Kled', 'Xayah', 'Janna'
'Camille', 'Xin Zhao', 'Viktor', "Kai'Sa", 'Braum', 'Poppy', 'Ekko', "Cho'Gath", 'Yasuo', 'Nautilus'
'Quinn', 'Elise', 'Syndra', 'Ezreal', 'Braum', 'Jax', 'Taliyah', 'Kayle', 'Xayah', 'Morgana'
'Riven', 'Karthus', 'Yasuo', 'Jinx', 'Gragas', 'Quinn', 'Zac', 'Fizz', 'Jhin', 'Pyke'
'Akali', "Kha'Zix", 'Zilean', 'Jinx', 'Thresh', 'Kayle', 'Olaf', 'Aurelion Sol', 'Lucian', 'Swain'
'Orianna', 'Olaf', 'Ryze', 'Jhin', 'Soraka', 'Shen', 'Kindred', 'Zed', "Kai'Sa", 'Thresh'
'Teemo', 'Karthus', 'Caitlyn', 'Garen', 'Morgana', 'Rengar', 'Zac', 'Nocturne', 'Ezreal', 'Karma'
'Irelia', 'Ekko', 'Mordekaiser', 'Lucian', 'Yuumi', 'Aatrox', 'Karthus', 'Renekton', "Kai'Sa", 'Rakan'
'Ahri', 'Soraka', 'Blitzcrank', 'Nasus', 'Teemo', 'Zed', 'Ezreal', 'Ashe', 'Karthus', 'Akali'
'Irelia', 'Ekko', 'Galio', "Kai'Sa", 'Volibear', 'Kayle', 'Shyvana', 'Riven', 'Xayah', 'Rakan'
'Urgot', 'Ekko', 'Diana', 'Lucian', 'Pyke', 'Garen', 'Lee Sin', 'Yasuo', "Kai'Sa", 'Morgana'
'Vladimir', 'Xin Zhao', 'Talon', "Kai'Sa", 'Blitzcrank', 'Darius', 'Evelynn', 'Shyvana', 'Ashe', 'Nami'
'Neeko', 'Lee Sin', 'Xerath', 'Ezreal', 'Rakan', 'Pantheon', 'Elise', 'Twisted Fate', 'Xayah', 'Pyke'
'Vayne', 'Olaf', 'Pantheon', 'Swain', 'Morgana', 'Renekton', 'Ekko', 'Xerath', 'Lucian', 'Sona'
'Renekton', 'Elise', 'Ryze', 'Caitlyn', 'Pyke', 'Talon', 'Karthus', 'Quinn', 'Lucian', 'Nami'
'Ziggs', 'Twisted Fate', "Kog'Maw", 'Mordekaiser', 'Pyke', 'Orianna', 'Xerath', 'Karthus', 'Jayce', 'Heimerdinger'
'Yuumi', 'Malzahar', 'Jayce', 'Ashe', 'Blitzcrank', 'Teemo', 'Sylas', 'Vayne', 'Draven', 'Nami'
'Kayle', 'Lee Sin', 'Lucian', 'Ashe', 'Blitzcrank', 'LeBlanc', 'Shaco', 'Yasuo', 'Ashe', 'Sona'
'Vladimir', 'Aatrox', 'Fizz', "Kai'Sa", 'Braum', 'Camille', 'Nunu & Willump', 'Zed', "Kai'Sa", 'Karma'
'Dr. Mundo', 'Quinn', 'Gangplank', 'Lee Sin', 'Neeko', 'Taliyah', 'Xerath', 'Shen', 'Jinx', 'Ashe'
'Garen', "Kha'Zix", 'Pantheon', 'Jhin', 'Blitzcrank', 'Riven', 'Elise', 'Akali', 'Caitlyn', 'Blitzcrank'
'Rengar', 'Pantheon', 'Yasuo', 'Miss Fortune', 'Ezreal', 'Ezreal', 'Pantheon', 'Twisted Fate', 'Vayne', 'Pyke'
'Shaco', 'Pantheon', 'Zed', 'Yasuo', 'Blitzcrank', 'Garen', 'Lee Sin', 'Azir', 'Lucian', 'Nami'
'Garen', 'Olaf', 'Twisted Fate', 'Jhin', 'Swain', 'Viktor', 'Lee Sin', 'Fizz', 'Miss Fortune', 'Thresh'
'Malphite', 'Nidalee', 'Zoe', 'Lucian', 'Galio', 'Kennen', 'Lee Sin', 'Akali', "Kai'Sa", 'Pyke'
'Kayle', 'Jarvan IV', 'LeBlanc', 'Sivir', 'Thresh', 'Camille', 'Nidalee', 'Zed', "Kai'Sa", 'Alistar'
'Shen', 'Lee Sin', 'Heimerdinger', 'Xayah', 'Rakan', 'Jayce', 'Elise', 'Qiyana', "Kai'Sa", 'Janna'
'Malphite', "Kha'Zix", 'Sylas', 'Yasuo', 'Volibear', 'Gangplank', 'Lee Sin', 'LeBlanc', "Kai'Sa", 'Shen'
'Pantheon', 'Jarvan IV', 'Diana', 'Lucian', 'Shen', 'Jax', 'Lee Sin', 'Galio', 'Ezreal', 'Swain'
'Jayce', 'Taliyah', 'LeBlanc', 'Lucian', 'Janna', 'Shen', 'Nidalee', 'Pantheon', 'Ashe', 'Swain'
'Rengar', "Kha'Zix", 'Ryze', 'Lucian', 'Leona', 'Camille', 'Karthus', 'Syndra', 'Xayah', 'Rakan'
'Teemo', 'Malphite', 'Tristana', 'Maokai', 'Aatrox', 'Lucian', 'Qiyana', 'Fiddlesticks', 'Taric', 'Dr. Mundo'
'Riven', 'Jarvan IV', 'Talon', "Kai'Sa", 'Janna', 'Fiora', 'Sylas', 'Zed', 'Ezreal', 'Alistar'
'Shen', "Rek'Sai", 'Vladimir', 'Ezreal', 'LeBlanc', 'Camille', "Kha'Zix", 'Galio', "Kai'Sa", 'Nautilus'
'Shen', 'Garen', 'Ekko', 'Xayah', 'Bard', 'Jax', "Rek'Sai", 'Azir', 'Tristana', 'Rakan'
'Jhin', 'Twitch', 'Lee Sin', 'Thresh', 'Zoe', 'Janna', 'Irelia', 'Kayle', 'Twisted Fate', 'Rakan'
'Mordekaiser', 'Pantheon', 'Yasuo', 'Ashe', 'Pyke', 'Ornn', 'Lee Sin', 'Veigar', "Kai'Sa", 'Blitzcrank'
'Shen', 'Elise', 'Jayce', 'Xayah', 'Nautilus', 'Jax', 'Karthus', 'Qiyana', "Kai'Sa", 'Janna'
'Lucian', 'Sylas', 'Vladimir', 'Caitlyn', 'Morgana', 'Renekton', 'Elise', 'Shen', 'Ashe', 'Karma'
'Jax', 'Ekko', 'Lissandra', 'Ezreal', 'Thresh', 'Vayne', 'Gragas', 'Yasuo', 'Rengar', 'Yuumi'
'Garen', 'Taliyah', 'Viktor', "Kai'Sa", 'Thresh', 'Shen', 'Elise', 'Pyke', 'Miss Fortune', 'Rakan'
'Shen', 'Elise', 'Renekton', 'Xayah', 'Rakan', 'Gangplank', 'Karthus', 'Pyke', 'Miss Fortune', 'Nami'
'Gangplank', 'Shyvana', 'Yasuo', 'Jhin', 'Lucian', 'Vladimir', 'Kayn', 'Renekton', 'Ashe', 'Teemo'
'Shen', 'Gragas', 'Yasuo', 'Jinx', 'Thresh', 'Aatrox', 'Ekko', 'LeBlanc', 'Lucian', 'Yuumi'
'Shen', 'Kindred', 'LeBlanc', "Kai'Sa", 'Gragas', 'Camille', 'Elise', 'Zed', 'Lucian', 'Braum'
'Shen', 'Dr. Mundo', 'Irelia', 'Ashe', 'Nautilus', 'Fiora', 'Ekko', 'Jayce', "Kai'Sa", 'Morgana'
'Rumble', 'Sylas', 'Vayne', 'Pyke', 'Lux', 'Katarina', 'Ezreal', 'Gragas', 'Shaco', 'Amumu'
'Teemo', 'Camille', 'Sivir', 'Darius', 'Jayce', 'Vayne', 'Karthus', 'Ashe', 'Ahri', 'Jax'
'Morgana', 'Rammus', 'Kayle', 'Fiddlesticks', 'Draven', 'Blitzcrank', 'Neeko', 'Yasuo', 'Lucian', 'Lissandra'
'Aatrox', 'Evelynn', 'Brand', 'Jinx', 'Nami', 'Fiora', 'Nunu & Willump', 'Qiyana', "Kai'Sa", 'Janna'
'Yasuo', 'Gragas', 'Mordekaiser', "Kai'Sa", 'Blitzcrank', 'Camille', 'Karthus', 'Akali', 'Lucian', 'Braum'
'Yasuo', 'Ivern', 'Garen', "Kai'Sa", 'Blitzcrank', 'Vayne', 'Karthus', 'Pantheon', 'Xayah', 'Thresh'
'Ashe', 'Lee Sin', 'Ryze', 'Ezreal', 'Pyke', 'Kayle', 'Olaf', 'Galio', 'Caitlyn', 'Karma'
'Rengar', 'Ekko', 'Fizz', "Kai'Sa", 'Karma', 'Quinn', 'Lee Sin', 'Galio', 'Ezreal', 'Morgana'
'Ryze', 'Lee Sin', 'Pantheon', 'Cassiopeia', 'Swain', 'Darius', 'Jarvan IV', 'Galio', "Kai'Sa", 'Rakan'
'Garen', 'Kindred', 'LeBlanc', "Kai'Sa", 'Nautilus', 'Vayne', 'Lee Sin', 'Pantheon', 'Xayah', 'Rakan'
'Lucian', 'Nunu & Willump', 'Ahri', 'Draven', 'Volibear', 'Poppy', 'Taliyah', 'Pantheon', 'Ashe', 'Lulu'
'Garen', 'Sivir', 'Braum', 'Ziggs', 'Morgana', 'Nami', 'Ashe', 'Yasuo', 'Ryze', 'Zoe'
'Irelia', 'Yasuo', 'Katarina', "Kai'Sa", 'Thresh', 'Poppy', 'Shyvana', "Cho'Gath", 'Caitlyn', 'Yuumi'
'Teemo', 'Kindred', 'LeBlanc', "Kai'Sa", 'Thresh', 'Shen', 'Olaf', 'Jayce', 'Xayah', 'Alistar'
'Jax', 'Pantheon', 'Zed', 'Garen', 'Yuumi', 'Renekton', 'Volibear', 'Syndra', "Kai'Sa", 'Yuumi'
'Nasus', 'Kayn', 'Ashe', 'Xayah', 'Janna', 'Lucian', 'Ivern', 'Renekton', 'Garen', 'Yuumi'
'Zilean', 'Amumu', 'Lulu', 'Garen', 'Yuumi', 'Fiora', 'Maokai', 'Miss Fortune', 'Ezreal', 'Yuumi'
'Akali', 'Lee Sin', 'Yasuo', "Kai'Sa", 'Morgana', 'Trundle', 'Lee Sin', 'Twisted Fate', 'Ezreal', 'Blitzcrank'
'Jayce', 'Karthus', 'Vladimir', 'Vayne', 'Morgana', 'Ezreal', 'Xin Zhao', 'Kennen', 'Xayah', 'Rakan'
'Mordekaiser', 'Dr. Mundo', 'Fizz', 'Ezreal', 'Rakan', 'Kennen', 'Nocturne', 'Aatrox', 'Xayah', 'Thresh'
'Irelia', 'Lee Sin', 'Kayle', 'Ashe', 'Leona', 'Kennen', 'Nocturne', 'Yasuo', 'Ezreal', 'Karma'
'Tryndamere', 'Graves', 'Ezreal', 'Vayne', 'Shaco', 'Tristana', 'Shyvana', 'Yasuo', 'Lucian', 'Yuumi'
'Teemo', 'Jarvan IV', 'Kennen', 'Katarina', 'Sona', 'Anivia', 'Kled', 'Leona', 'Morgana', 'Varus'
'Yasuo', 'Master Yi', 'Pyke', 'Varus', 'Yuumi', 'Alistar', 'Pantheon', 'Akali', 'Varus', 'Yuumi'
'Garen', 'Qiyana', 'Kassadin', 'Ashe', 'Xerath', 'Garen', 'Lee Sin', 'Blitzcrank', 'Ashe', 'Thresh'
'Jinx', 'Ezreal', 'Syndra', 'Yuumi', 'Master Yi', 'Jhin', 'Orianna', 'Tristana', 'Rumble', 'Viktor'
'Anivia', 'Quinn', 'Master Yi', 'Zed', 'Zilean', 'Blitzcrank', 'Ekko', 'Ziggs', 'Kayn', 'Karthus'
'Diana', 'Elise', 'Swain', 'Miss Fortune', 'Yuumi', 'Vayne', 'Ekko', 'Sylas', 'Jhin', 'Miss Fortune'
'Corki', 'Kindred', 'Galio', 'Xayah', 'Rakan', 'Gangplank', 'Karthus', 'Tristana', 'Ashe', 'Morgana'
'Aatrox', 'Gragas', 'Zyra', 'Ezreal', 'Varus', 'Taliyah', 'Neeko', 'Nasus', 'Fiddlesticks', 'Nami'
'Jinx', 'Kindred', 'Kayn', 'Cassiopeia', 'Jayce', 'Rengar', 'Pantheon', 'Garen', 'Galio', 'Taric'
'Vladimir', 'Xerath', 'Jax', 'Blitzcrank', 'Gnar', 'Karma', 'Sylas', 'Sivir', 'Yasuo', 'Jinx'
'Caitlyn', 'Pantheon', 'LeBlanc', 'Teemo', 'Morgana', 'Twitch', 'Fiddlesticks', 'Ornn', 'Illaoi', 'Heimerdinger'
'Jax', 'Zac', 'Azir', 'Yasuo', 'Nautilus', 'Qiyana', 'Fiddlesticks', 'Fiora', "Kai'Sa", 'Pyke'
'Malzahar', 'Miss Fortune', 'Zilean', 'Zac', 'Shaco', 'Zoe', 'Teemo', 'Nunu & Willump', 'Lucian', "Kha'Zix"
'Lee Sin', 'Master Yi', 'Xayah', 'Jhin', 'Heimerdinger', 'Hecarim', 'Galio', 'Jarvan IV', 'Caitlyn', 'Ryze'
'Blitzcrank', 'Sivir', 'Darius', 'Nasus', 'Nami', 'Evelynn', 'Taliyah', 'Fizz', 'Pyke', 'Orianna'
'Jax', 'Xin Zhao', 'Talon', 'Ezreal', 'Rakan', 'Ryze', 'Ekko', 'Lucian', "Kai'Sa", 'Leona'
'Ornn', 'Cassiopeia', 'Yuumi', 'Lulu', 'Shaco', 'Nidalee', 'Karma', 'Ryze', 'Amumu', 'Syndra'
'Akali', 'Tahm Kench', 'Neeko', 'Brand', 'Jinx', 'Kindred', 'Azir', 'Veigar', 'Jarvan IV', 'Sivir'
'Twitch', 'Heimerdinger', 'Jayce', 'Lux', 'Katarina', 'Kalista', 'Caitlyn', 'Ezreal', 'Amumu', 'Rammus'
'Olaf', 'Lee Sin', 'Syndra', "Kai'Sa", 'Volibear', 'Rumble', 'Elise', 'Irelia', 'Lucian', 'Zyra'
'Kennen', 'Lee Sin', 'Ahri', "Kai'Sa", 'Leona', 'Olaf', 'Nidalee', 'Ezreal', 'Yasuo', 'Shaco'
'Akali', "Kha'Zix", 'Zilean', 'Jinx', 'Thresh', 'Kayle', 'Olaf', 'Aurelion Sol', 'Lucian', 'Swain'
'Shen', 'Rammus', 'Aurelion Sol', "Kai'Sa", 'Galio', 'Kayle', 'Karthus', 'Syndra', 'Xayah', 'Leona'
'Garen', 'Kindred', 'Galio', 'Miss Fortune', 'Blitzcrank', 'Kayle', 'Ekko', 'Vladimir', "Kai'Sa", 'Nautilus'
'Quinn', 'Nidalee', 'Ryze', "Kai'Sa", 'Thresh', 'Rengar', 'Nunu & Willump', 'Aurelion Sol', 'Jinx', 'Leona'
'Jayce', 'Zac', 'Vladimir', 'Lucian', 'Fiddlesticks', 'Garen', "Kha'Zix", 'Orianna', 'Ezreal', 'Thresh'
'Quinn', 'Sylas', 'Jayce', 'Miss Fortune', 'Thresh', 'Darius', 'Olaf', 'Kayle', "Kai'Sa", 'Gragas'
'Ornn', "Kha'Zix", 'Ezreal', "Kai'Sa", 'Alistar', 'Tryndamere', 'Karthus', 'Tristana', 'Miss Fortune', 'Tahm Kench'
'Vayne', 'Elise', 'LeBlanc', 'Ashe', 'Zyra', 'Shen', 'Lee Sin', 'Katarina', 'Miss Fortune', 'Bard'
'Jax', 'Elise', 'Kassadin', 'Lucian', 'Leona', 'Quinn', 'Ekko', 'Galio', "Kai'Sa", 'Volibear'
'Morgana', 'Xayah', 'Nautilus', 'Amumu', 'Syndra', 'Jinx', 'Azir', 'Darius', 'Nidalee', 'Alistar'
'Vayne', 'Aatrox', 'Galio', 'Ezreal', 'Tahm Kench', 'Fiora', 'Karthus', 'Akali', 'Xayah', 'Rakan'
'Fiora', 'Lee Sin', 'Ezreal', "Kai'Sa", 'Nautilus', 'Camille', 'Elise', 'Galio', 'Sivir', 'Pyke'
'Jax', 'Karthus', 'Pantheon', 'Lucian', 'Janna', 'Camille', 'Gragas', 'Vladimir', 'Morgana', 'Pyke'
'Camille', 'Elise', 'Ryze', "Kai'Sa", 'Thresh', 'Renekton', 'Ekko', 'Zoe', 'Lucian', 'Rakan'
'Akali', 'Olaf', 'Zoe', 'Ezreal', 'Karma', 'Irelia', 'Nunu & Willump', 'Yasuo', 'Xayah', 'Rakan'
'Pantheon', 'Olaf', 'Karma', 'Lucian', 'Thresh', 'Vladimir', 'Jarvan IV', 'Poppy', "Kai'Sa", 'Nautilus'
'Poppy', 'Ekko', 'Sylas', 'Lucian', 'Rakan', 'Akali', 'Lee Sin', 'Vladimir', "Kai'Sa", 'Leona'
'Irelia', 'Gragas', 'Camille', 'Xayah', 'Rakan', 'Fiora', 'Nidalee', 'Yasuo', "Kai'Sa", 'Nautilus'
'Vladimir', 'Shyvana', 'Irelia', 'Lucian', 'Rakan', 'Sylas', 'Lee Sin', 'Azir', 'Xayah', 'Alistar'
'Jayce', 'Taliyah', 'Sylas', 'Ashe', 'Alistar', 'Sion', 'Lee Sin', 'Garen', 'Ezreal', 'Pyke'
'Garen', 'Taliyah', 'Sion', "Kai'Sa", 'Nautilus', 'Camille', 'Kindred', 'Galio', 'Xayah', 'Braum'
'Darius', 'Lee Sin', 'Ryze', 'Xayah', 'Janna', 'Irelia', 'Gragas', 'Aatrox', 'Caitlyn', 'Tahm Kench'
'Sion', 'Lee Sin', 'Lulu', 'Xayah', 'Volibear', 'Kennen', "Kha'Zix", 'Karma', 'Ashe', 'Zyra'
'Sion', 'Lee Sin', 'Twisted Fate', 'Miss Fortune', 'Gragas', 'Irelia', 'Elise', 'Kennen', "Kai'Sa", 'Pyke'
'Rumble', 'Lee Sin', 'Galio', 'Xayah', 'Blitzcrank', 'Illaoi', 'Elise', 'Fizz', 'Caitlyn', 'Lux'
'Tryndamere', 'Kayn', 'Ahri', 'Ashe', 'Thresh', 'Fiora', 'Evelynn', 'Lissandra', "Kai'Sa", 'Fiddlesticks'
'Olaf', 'Nidalee', 'Twisted Fate', 'Xayah', 'Blitzcrank', 'Jayce', 'Ekko', 'Tristana', 'Ezreal', 'Nautilus'
'Kayle', 'Camille', 'LeBlanc', 'Caitlyn', 'Blitzcrank', 'Aatrox', 'Elise', 'Qiyana', 'Tristana', 'Leona'
'Jax', "Rek'Sai", 'Lissandra', 'Ashe', 'Morgana', 'Akali', 'Lee Sin', 'Cassiopeia', 'Lucian', 'Soraka'
'Mordekaiser', 'Taliyah', 'Jayce', 'Caitlyn', 'Lux', 'Renekton', 'Lee Sin', 'Ekko', "Kai'Sa", 'Bard'
'Yasuo', 'Shyvana', 'Ryze', "Kai'Sa", 'Tahm Kench', 'Mordekaiser', 'Karthus', 'Talon', 'Ashe', 'Thresh'
'Ornn', 'Lee Sin', 'Talon', 'Garen', 'Yuumi', 'Ezreal', 'Pantheon', 'Jax', 'Caitlyn', 'Morgana'
'Gragas', 'Jayce', 'Mordekaiser', 'Ryze', 'Fiora', 'Darius', 'Caitlyn', 'Lucian', 'Morgana', 'Cassiopeia'
'Kayle', 'Vi', 'Zed', 'Xayah', 'Rakan', 'Pantheon', 'Rengar', 'Ahri', 'Ezreal', 'Morgana'
'Gangplank', 'Nidalee', 'Riven', 'Miss Fortune', 'Thresh', 'Karma', 'Elise', 'Sylas', 'Draven', 'Morgana'
'Irelia', 'Karthus', 'Renekton', 'Ashe', 'Jarvan IV', 'Lucian', 'Ekko', 'Kayle', 'Xayah', 'Leona'
'Pantheon', 'Lee Sin', 'Xerath', 'Ezreal', 'Thresh', 'Renekton', 'Taliyah', 'Irelia', "Kai'Sa", 'Morgana'
'Cassiopeia', 'Lee Sin', 'Kennen', 'Vayne', 'Braum', 'Kayle', 'Olaf', 'Twisted Fate', "Kai'Sa", 'Nautilus'
'Camille', 'Ekko', 'Fizz', 'Lucian', 'Thresh', 'Kennen', 'Olaf', 'Jayce', "Kai'Sa", 'Fiddlesticks'
'Renekton', 'Ekko', 'Kennen', 'Lucian', 'Leona', 'Vladimir', 'Gragas', 'Zed', 'Miss Fortune', 'Thresh'
'Camille', 'Dr. Mundo', 'Ryze', "Kai'Sa", 'Nautilus', 'Renekton', 'Elise', 'Aatrox', 'Xayah', 'Morgana'
'Qiyana', 'Nidalee', 'Pantheon', 'Jinx', 'Nautilus', 'Malphite', 'Elise', 'Mordekaiser', 'Ezreal', 'Karma'
'Pantheon', 'Shaco', 'Garen', "Kai'Sa", 'Rakan', 'Darius', 'Garen', 'Talon', 'Ashe', 'Zyra'
'Renekton', 'Taliyah', 'Twisted Fate', 'Lucian', 'Morgana', 'Quinn', 'Xin Zhao', 'Ahri', "Kai'Sa", 'Nautilus'
'Quinn', 'Ivern', 'Zed', 'Twitch', 'Gragas', 'Kennen', 'Nidalee', 'Talon', 'Lucian', 'Volibear'
'Shen', 'Karthus', 'Jayce', 'Jhin', 'Alistar', 'Kennen', "Rek'Sai", 'Yasuo', 'Sivir', 'Nami'
'Karma', 'Lee Sin', 'Qiyana', "Kai'Sa", 'Leona', 'Viktor', 'Gragas', 'Ekko', 'Miss Fortune', 'Thresh'
'Camille', 'Nidalee', 'Shen', "Kai'Sa", 'Alistar', 'Renekton', 'Taliyah', 'Vladimir', 'Tristana', 'Janna'
'Twisted Fate', 'Xin Zhao', 'Rumble', 'Ezreal', 'Karma', 'Jax', 'Lee Sin', 'Sylas', 'Caitlyn', 'Morgana'
'Ornn', 'Kindred', 'Zilean', "Kai'Sa", 'Blitzcrank', 'Kayle', 'Twitch', 'Talon', 'Jinx', 'Thresh'
'Teemo', 'Taliyah', 'Pantheon', 'Ezreal', 'Bard', 'Riven', 'Lee Sin', 'Katarina', "Kai'Sa", 'Gragas'
'Tristana', 'Lee Sin', 'Ezreal', "Kai'Sa", 'Alistar', 'Kled', 'Olaf', 'Karma', 'Lucian', 'Braum'
'Jayce', 'Lee Sin', 'Mordekaiser', 'Yasuo', 'Pyke', 'Kayle', 'Poppy', 'Irelia', 'Lucian', 'Gragas'
'Aatrox', 'Elise', "Cho'Gath", 'Ezreal', 'Tahm Kench', 'Kayle', "Rek'Sai", 'Kennen', "Kai'Sa", 'Nautilus'
'Jax', 'Lee Sin', 'Renekton', 'Lucian', 'Thresh', 'Irelia', 'Olaf', 'Taliyah', 'Caitlyn', 'Morgana'
'Vladimir', 'Zac', 'LeBlanc', 'Ezreal', 'Lux', 'Quinn', 'Master Yi', 'Talon', "Kai'Sa", 'Zilean'
'Malphite', 'Taliyah', 'Aatrox', 'Ashe', 'Thresh', 'Fiora', 'Ekko', 'Galio', "Kai'Sa", 'Pyke'
'Camille', "Rek'Sai", 'Taliyah', 'Jinx', 'Lulu', 'Riven', 'Lee Sin', 'Katarina', "Kai'Sa", 'Thresh'
'Garen', 'Lee Sin', 'Akali', 'Ezreal', 'Pyke', 'Jayce', 'Olaf', 'Viktor', 'Lucian', 'Braum'
'Gangplank', 'Lee Sin', 'Galio', 'Ezreal', 'Swain', 'Pantheon', 'Jarvan IV', 'Lissandra', 'Lucian', 'Ahri'
'Kled', 'Elise', 'Olaf', "Kai'Sa", 'Thresh', 'Fiora', 'Taliyah', 'Cassiopeia', 'Caitlyn', 'Blitzcrank'
'Vayne', 'Gragas', 'Zed', 'Sivir', 'Yuumi', 'Irelia', 'Nidalee', 'Garen', "Kai'Sa", 'Nautilus'
'Irelia', 'Sylas', 'Talon', "Kai'Sa", 'Morgana', 'Mordekaiser', 'Jarvan IV', 'Syndra', 'Ashe', 'Nautilus'
'Sivir', 'Yuumi', 'Sona', "Vel'Koz", 'Jayce', 'Maokai', 'Viktor', 'Graves', 'Miss Fortune', 'Lucian'
'Mordekaiser', 'Olaf', 'Sylas', 'Jinx', 'Thresh', 'Renekton', 'Karthus', 'Irelia', "Kai'Sa", 'Fiddlesticks'
'Quinn', 'Gragas', 'LeBlanc', "Kai'Sa", 'Thresh', 'Lucian', 'Lee Sin', 'Lissandra', 'Ezreal', 'Blitzcrank'
'Garen', 'Ekko', 'Akali', 'Lucian', 'Pyke', 'Darius', 'Evelynn', 'Neeko', 'Xayah', 'Rakan'
'Kled', 'Vayne', 'Xayah', 'Master Yi', 'Xerath', 'Riven', 'Ziggs', 'Garen', 'Malphite', 'Shyvana'
