'Azir', 'Taliyah', 'Caitlyn', 'Zyra', 'Udyr', 'Karma', 'Zilean', 'Olaf', 'Ezreal', 'Amumu'
'Fiora', 'Ekko', 'Kayle', "Kai'Sa", 'Volibear', 'Rengar', 'Nunu & Willump', 'LeBlanc', 'Xayah', 'Nautilus'
'Yorick', "Rek'Sai", 'LeBlanc', 'Ezreal', 'Soraka', 'Sylas', 'Lee Sin', 'Kayle', 'Pantheon', 'Taliyah'
'Sivir', 'Malzahar', 'Dr. Mundo', 'Yasuo', 'Katarina', 'Poppy', 'Teemo', "Vel'Koz", 'Garen', 'Miss Fortune'
'Ryze', 'LeBlanc', 'Janna', 'Miss Fortune', 'Jinx', 'Akali', 'Lucian', 'Ekko', 'Zoe', 'Neeko'
'Katarina', "Rek'Sai", 'Brand', 'Neeko', 'Lulu', 'Jayce', 'Lux', 'Teemo', 'Sylas', 'Orianna'
'Camille', 'Nidalee', 'Zoe', 'Lucian', 'Rakan', 'Ryze', "Kha'Zix", 'Ekko', 'Ezreal', 'Tahm Kench'
'Ivern', 'Ashe', 'Neeko', 'Bard', 'Lucian', 'Dr. Mundo', 'Sivir', 'Rakan', 'Fiddlesticks', 'Kindred'
'Lucian', 'Lee Sin', 'Lissandra', 'Jinx', 'Thresh', 'Garen', "Rek'Sai", 'LeBlanc', 'Kalista', 'Pyke'
'Rengar', 'Jarvan IV', "Vel'Koz", 'Xayah', 'Rakan', 'Lucian', "Rek'Sai", 'Ryze', 'Sylas', 'Karma'
'Rengar', 'Shyvana', 'Galio', 'Ezreal', 'Rakan', "Cho'Gath", "Rek'Sai", 'Qiyana', 'Xayah', 'Nautilus'
'Malphite', 'Karthus', 'Renekton', 'Xayah', 'Thresh', 'Sylas', 'Olaf', 'Vladimir', 'Ezreal', 'Gragas'
'Pantheon', 'Nidalee', 'Irelia', 'Jinx', 'Morgana', 'Gangplank', "Rek'Sai", 'Kayle', "Kai'Sa", 'Nautilus'
'Irelia', 'Ekko', 'Fiora', 'Vayne', 'Thresh', 'Darius', 'Sylas', 'Renekton', 'Ezreal', 'Fiddlesticks'
'Lux', 'Akali', 'Tristana', 'Ziggs', 'Vi', 'Malphite', 'Neeko', 'Pyke', 'Rakan', 'Ekko'
'Mordekaiser', 'Nidalee', 'Lucian', "Kai'Sa", 'Nautilus', 'Camille', 'Olaf', 'Morgana', 'Caitlyn', 'Tahm Kench'
'Camille', 'Karthus', 'Rumble', 'Caitlyn', 'Rakan', 'Jayce', 'Nidalee', 'Vladimir', 'Xayah', 'Morgana'
'Garen', 'Aurelion Sol', 'Ekko', 'Jinx', 'Lulu', 'Jayce', 'Nidalee', 'Lucian', 'Varus', 'Tahm Kench'
'Irelia', 'Lee Sin', 'Anivia', 'Miss Fortune', 'Thresh', 'Jayce', 'Rumble', 'Lucian', 'Caitlyn', 'Morgana'
'Camille', 'Lee Sin', 'Malzahar', 'Caitlyn', 'Morgana', 'Jax', 'Olaf', 'Syndra', 'Miss Fortune', 'Nautilus'
'Jayce', 'Nidalee', 'Akali', 'Ashe', 'Karma', 'Lucian', 'Ekko', 'Sylas', 'Caitlyn', 'Morgana'
'Jayce', 'Nidalee', 'Qiyana', 'Jinx', 'Thresh', 'Camille', 'Elise', 'Poppy', 'Caitlyn', 'Karma'
'Kennen', 'Graves', 'Nocturne', "Kai'Sa", 'Nautilus', 'Vi', 'Gragas', 'Garen', 'Yasuo', 'Pyke'
'Rengar', 'Nidalee', 'Ryze', 'Xayah', 'Thresh', 'Jayce', 'Ekko', 'Galio', "Kai'Sa", 'Swain'
'Vladimir', 'Elise', 'Pantheon', 'Lucian', 'Blitzcrank', 'Jayce', 'Taliyah', 'Kled', 'Ezreal', 'Nautilus'
'Jayce', 'Ekko', 'Tristana', 'Jinx', 'Thresh', 'Quinn', 'Karthus', 'Qiyana', "Kai'Sa", 'Nautilus'
'Garen', 'Elise', 'Qiyana', 'Ezreal', 'Janna', 'Kayle', 'Ekko', 'LeBlanc', "Kai'Sa", 'Pyke'
'Jax', 'Ekko', 'Wukong', 'Miss Fortune', 'Leona', 'Kayle', 'Gragas', 'Talon', "Kai'Sa", 'Tahm Kench'
'Wukong', 'Taliyah', 'Kled', "Kai'Sa", 'Nautilus', 'Camille', 'Nidalee', 'Annie', 'Ezreal', 'Tahm Kench'
'Lucian', 'Elise', 'Twisted Fate', "Kai'Sa", 'Nautilus', 'Jayce', "Rek'Sai", 'Vladimir', 'Caitlyn', 'Morgana'
'Tristana', 'Poppy', 'Akali', 'Lucian', 'Zyra', 'Sion', 'Nidalee', 'Qiyana', "Kai'Sa", 'Janna'
'Jayce', 'Ekko', 'LeBlanc', 'Jinx', 'Thresh', 'Malphite', 'Nidalee', 'Aatrox', "Kai'Sa", 'Gragas'
'Kennen', "Kha'Zix", 'Viktor', 'Ezreal', 'Alistar', 'Kayle', 'Lee Sin', 'Diana', 'Sivir', 'Rakan'
'Jayce', "Rek'Sai", 'Taliyah', "Kai'Sa", 'Leona', 'Lucian', 'Gragas', 'Akali', 'Miss Fortune', 'Nautilus'
'Aatrox', 'Lee Sin', 'Lissandra', 'Ashe', 'Janna', 'Wukong', 'Xin Zhao', 'LeBlanc', 'Xayah', 'Rakan'
'Wukong', 'Xin Zhao', 'Galio', "Kai'Sa", 'Volibear', 'Jayce', 'Olaf', 'Vayne', 'Ezreal', 'Rakan'
'Wukong', "Kha'Zix", 'Syndra', 'Varus', 'Tahm Kench', 'Jayce', 'Gragas', 'LeBlanc', 'Lucian', 'Thresh'
'Riven', "Rek'Sai", "Vel'Koz", "Kai'Sa", 'Leona', 'Urgot', 'Shyvana', 'Wukong', 'Ezreal', 'Tahm Kench'
'Darius', 'Ekko', 'Tristana', "Kai'Sa", 'Volibear', 'Wukong', 'Nidalee', 'Nocturne', 'Lucian', 'Gragas'
'Lucian', 'Lee Sin', 'Kassadin', 'Sivir', 'Thresh', 'Wukong', 'Ekko', 'Fizz', 'Ezreal', 'Pyke'
'Singed', 'Lee Sin', 'Aurelion Sol', "Kai'Sa", 'Pyke', 'Wukong', 'Nidalee', 'Jayce', 'Sivir', 'Rakan'
'Renekton', 'Elise', 'Rumble', "Kai'Sa", 'Rakan', 'Wukong', 'Taliyah', 'Quinn', 'Lucian', 'Nautilus'
'Ryze', 'Kindred', 'Jayce', 'Ezreal', 'Blitzcrank', 'Wukong', 'Qiyana', "Vel'Koz", 'Vayne', 'Rakan'
'Renekton', 'Sylas', 'Syndra', 'Lucian', 'Pyke', 'Wukong', 'Elise', 'Poppy', "Kai'Sa", 'Thresh'
'Irelia', 'Gragas', 'Mordekaiser', "Kai'Sa", 'Pyke', 'Talon', 'Nunu & Willump', 'Wukong', 'Lucian', 'Volibear'
'Kayle', 'Gragas', 'Yasuo', 'Miss Fortune', 'Pyke', 'Viktor', "Kha'Zix", 'Garen', "Kai'Sa", 'Morgana'
'Renekton', 'Elise', 'Twisted Fate', "Kai'Sa", 'Thresh', 'Kayle', 'Shyvana', 'Jayce', 'Ashe', 'Nautilus'
'Ryze', 'Taliyah', 'Jayce', 'Miss Fortune', 'Karma', 'Kayle', 'Elise', 'Qiyana', "Kai'Sa", 'Pyke'
'Kayle', 'Lee Sin', 'Ezreal', 'Jinx', 'Tahm Kench', 'Vladimir', "Rek'Sai", 'Akali', "Kai'Sa", 'Rakan'
'Kayle', 'Karthus', 'Qiyana', 'Kalista', 'Nautilus', 'Jayce', 'Kindred', 'Ornn', "Kai'Sa", 'Brand'
'Yuumi', 'Gnar', 'Ezreal', 'Vayne', 'Zilean', 'Zoe', 'Sona', 'Sylas', 'Twitch', 'Kassadin'
'Kayle', 'Olaf', 'Kled', 'Xayah', 'Thresh', 'Riven', 'Lee Sin', 'Taliyah', 'Jinx', 'Morgana'
'Irelia', 'Ekko', 'Kayle', "Kai'Sa", 'Nautilus', 'Jayce', 'Lee Sin', 'Twisted Fate', 'Jinx', 'Thresh'
'Lucian', 'Gragas', 'Irelia', 'Xayah', 'Rakan', 'Fiora', 'Taliyah', 'Qiyana', 'Ezreal', 'Pyke'
'Kayle', 'Graves', 'Twisted Fate', 'Xayah', 'Rakan', 'Camille', 'Nidalee', 'Galio', 'Miss Fortune', 'Morgana'
'Irelia', 'Taliyah', 'Galio', 'Caitlyn', 'Rakan', 'Kayle', 'Lee Sin', 'Camille', 'Xayah', 'Morgana'
'Mordekaiser', 'Lee Sin', 'LeBlanc', 'Xayah', 'Thresh', 'Kayle', 'Kindred', 'Jayce', "Kai'Sa", 'Gragas'
'Kayle', 'Taliyah', 'LeBlanc', 'Tristana', 'Thresh', 'Renekton', 'Elise', 'Lucian', "Kai'Sa", 'Gragas'
'Camille', 'Ekko', 'Pantheon', 'Jinx', 'Thresh', 'Urgot', 'Elise', 'Shen', 'Xayah', 'Nautilus'
'Garen', 'Elise', 'Fiora', 'Caitlyn', 'Bard', 'Irelia', 'Ekko', 'Qiyana', 'Ashe', 'Morgana'
'Rengar', 'Ekko', 'Pantheon', 'Xayah', 'Rakan', 'Irelia', 'Taliyah', 'Twisted Fate', 'Yasuo', 'Nautilus'
'Jayce', 'Shaco', 'Vladimir', 'Xayah', 'Rakan', 'Lucian', 'Taliyah', 'Qiyana', "Kai'Sa", 'Nautilus'
'Jax', 'Gragas', 'Galio', "Kai'Sa", 'Thresh', 'Gangplank', 'Sylas', 'Camille', 'Ezreal', 'Leona'
'Irelia', "Rek'Sai", 'Sylas', 'Miss Fortune', 'Janna', 'Fiora', 'Ekko', 'LeBlanc', 'Yasuo', 'Alistar'
'Kayle', 'Nidalee', 'Aatrox', 'Draven', 'Thresh', 'Lucian', 'Taliyah', 'Qiyana', "Kai'Sa", 'Leona'
'Kayle', 'Lee Sin', 'Heimerdinger', 'Ezreal', 'Karma', 'Qiyana', 'Gragas', 'Irelia', 'Jhin', 'Morgana'
'Galio', 'Lee Sin', 'Jayce', 'Yasuo', 'Volibear', 'Irelia', 'Nidalee', 'Aurelion Sol', 'Ezreal', 'Alistar'
'Sylas', 'Ekko', 'Pantheon', 'Xayah', 'Rakan', 'Riven', "Rek'Sai", 'Mordekaiser', 'Vladimir', 'Shen'
'Fiora', 'Ekko', 'Poppy', 'Kalista', 'Morgana', 'Irelia', 'Lee Sin', 'Sylas', 'Sivir', 'Karma'
'Vladimir', 'Elise', 'Pantheon', 'Lucian', 'Blitzcrank', 'Jayce', 'Taliyah', 'Kled', 'Ezreal', 'Nautilus'
'Zoe', 'Lee Sin', 'Tristana', 'Ezreal', 'Rakan', 'Irelia', 'Elise', 'Lucian', "Kai'Sa", 'Alistar'
'Kayle', 'Nocturne', 'Poppy', 'Ezreal', 'Nautilus', 'Gangplank', 'Elise', 'Camille', 'Kalista', 'Blitzcrank'
'Garen', 'Ekko', 'Diana', "Kai'Sa", 'Blitzcrank', 'Aatrox', 'Lee Sin', 'LeBlanc', 'Xayah', 'Rakan'
'Irelia', 'Lee Sin', 'Karma', "Kai'Sa", 'Pyke', 'Renekton', 'Taliyah', 'Jax', 'Jinx', 'Tahm Kench'
'Jayce', 'Elise', 'Zilean', 'Ezreal', 'Bard', 'Tristana', 'Karthus', 'Ornn', "Kai'Sa", 'Nautilus'
'Garen', 'Olaf', 'Pantheon', 'Ezreal', 'Lulu', 'Rengar', 'Lee Sin', 'Syndra', 'Xayah', 'Karma'
'Garen', 'Lee Sin', 'Zoe', 'Xayah', 'Rakan', 'Kayle', 'Elise', 'Irelia', 'Caitlyn', 'Morgana'
'Kled', "Rek'Sai", 'Rumble', 'Taliyah', 'Leona', 'Camille', 'Ekko', 'Zoe', "Kai'Sa", 'Nautilus'
'Quinn', 'Jarvan IV', 'Zoe', 'Xayah', 'Rakan', 'Renekton', 'Nidalee', 'Syndra', "Kai'Sa", 'Leona'
'Jax', 'Ekko', 'Wukong', 'Miss Fortune', 'Leona', 'Kayle', 'Gragas', 'Talon', "Kai'Sa", 'Tahm Kench'
'Vladimir', 'Ekko', 'Qiyana', 'Miss Fortune', 'Leona', 'Kayle', 'Lee Sin', 'Zoe', 'Draven', 'Nautilus'
'Urgot', 'Taliyah', 'Galio', "Kai'Sa", 'Volibear', 'Camille', 'Evelynn', 'Pantheon', 'Lucian', 'Leona'
'Vladimir', 'Olaf', 'Akali', 'Lucian', 'Pyke', 'Kayle', 'Ekko', 'Qiyana', "Kai'Sa", 'Nautilus'
'Jayce', 'Gragas', 'Tristana', 'Syndra', 'Tahm Kench', 'Kennen', 'Ekko', 'Twisted Fate', 'Xayah', 'Thresh'
'Jax', 'Lee Sin', 'Aatrox', 'Taliyah', 'Nautilus', 'Camille', 'Kindred', 'Karthus', "Kai'Sa", 'Thresh'
'Galio', 'Ekko', 'Vladimir', 'Jinx', 'Tahm Kench', 'Kled', 'Nidalee', 'Twisted Fate', "Kai'Sa", 'Volibear'
'Poppy', 'Nidalee', 'Ekko', 'Ashe', 'Karma', 'Kennen', "Kha'Zix", 'Quinn', 'Caitlyn', 'Janna'
'Aatrox', 'Karthus', 'Jayce', "Kai'Sa", 'Nami', 'Camille', 'Nidalee', 'Qiyana', 'Caitlyn', 'Morgana'
'Lucian', 'Nidalee', 'Fiora', "Kai'Sa", 'Nautilus', 'Renekton', 'Elise', 'Qiyana', 'Ashe', 'Tahm Kench'
'Kennen', 'Kindred', 'Karma', 'Ezreal', 'Rakan', 'Jax', 'Lee Sin', 'LeBlanc', "Kai'Sa", 'Gragas'
'Syndra', 'Gragas', 'Pantheon', 'Lucian', 'Pyke', 'Karma', 'Kindred', 'Heimerdinger', 'Miss Fortune', 'Thresh'
'Garen', 'Karthus', 'Lucian', 'Xayah', 'Thresh', 'Vladimir', 'Olaf', 'Galio', "Kai'Sa", 'Leona'
'Mordekaiser', 'Lee Sin', 'LeBlanc', 'Irelia', 'Rakan', 'Vladimir', 'Olaf', 'Taliyah', 'Xayah', 'Leona'
'Garen', "Rek'Sai", 'Akali', 'Ezreal', 'Pyke', 'Diana', 'Graves', 'Lucian', 'Xayah', 'Rakan'
'Garen', 'Lee Sin', 'Zoe', 'Xayah', 'Rakan', 'Kayle', 'Elise', 'Irelia', 'Caitlyn', 'Morgana'
'Irelia', 'Elise', 'LeBlanc', 'Xayah', 'Rakan', 'Ryze', 'Ekko', 'Jayce', 'Lucian', 'Galio'
'Mordekaiser', 'Lee Sin', 'LeBlanc', 'Xayah', 'Thresh', 'Kayle', 'Kindred', 'Jayce', "Kai'Sa", 'Gragas'
'Pantheon', "Kha'Zix", 'Akali', 'Lucian', 'Swain', 'Karma', 'Lee Sin', 'Rumble', 'Xayah', 'Rakan'
'Aatrox', 'Nidalee', 'Qiyana', 'Xayah', 'Thresh', 'Kennen', 'Karthus', 'Karma', 'Jinx', 'Morgana'
'Jayce', 'Kindred', 'Twisted Fate', 'Xayah', 'Rakan', 'Renekton', 'Nidalee', 'Ryze', 'Miss Fortune', 'Galio'
'Vladimir', 'Lee Sin', 'LeBlanc', 'Draven', 'Thresh', 'Tristana', 'Karthus', 'Jayce', 'Lucian', 'Morgana'
'Pantheon', 'Ekko', 'Renekton', 'Sivir', 'Yuumi', 'Kennen', 'Lee Sin', 'Ahri', 'Xayah', 'Rakan'
'Kled', 'Jarvan IV', 'Zoe', 'Lucian', 'Braum', 'Jax', 'Elise', 'LeBlanc', 'Jinx', 'Thresh'
'Gangplank', 'Shaco', 'Galio', "Kai'Sa", 'Jarvan IV', 'Lucian', 'Rengar', 'Syndra', 'Ezreal', 'Bard'
'Kennen', "Kha'Zix", 'Ryze', 'Ashe', 'Thresh', 'Rengar', 'Olaf', 'Diana', 'Miss Fortune', 'Nautilus'
'Gangplank', 'Nidalee', 'Twisted Fate', "Kai'Sa", 'Thresh', 'Garen', 'Olaf', 'Karthus', 'Miss Fortune', 'Gragas'
'Fiora', 'Graves', 'Syndra', "Kai'Sa", 'Nautilus', 'Camille', 'Karthus', 'Zilean', 'Draven', 'Pyke'
'Jayce', 'Taliyah', 'Corki', 'Xayah', 'Volibear', 'Camille', 'Nidalee', 'Zoe', 'Ezreal', 'Rakan'
'Pantheon', 'Nidalee', 'Ryze', 'Xayah', 'Sylas', 'Jax', 'Ekko', 'Lucian', "Kai'Sa", 'Nautilus'
'Quinn', "Rek'Sai", 'LeBlanc', 'Ezreal', 'Karma', 'Jayce', 'Lee Sin', 'Zoe', "Kai'Sa", 'Swain'
'Galio', 'Elise', 'Camille', "Kai'Sa", 'Blitzcrank', 'Malphite', 'Olaf', 'Zoe', 'Ezreal', 'Janna'
'Quinn', 'Karthus', 'Camille', "Kai'Sa", 'Nautilus', 'Kayle', 'Lee Sin', 'Syndra', 'Lucian', 'Thresh'
'Mordekaiser', 'Olaf', 'Syndra', 'Xayah', 'Pyke', 'Camille', 'Gragas', 'Irelia', 'Lucian', 'Nautilus'
'Gangplank', 'Shaco', 'Galio', "Kai'Sa", 'Jarvan IV', 'Lucian', 'Rengar', 'Syndra', 'Ezreal', 'Bard'
'Irelia', 'Lee Sin', 'Karma', "Kai'Sa", 'Pyke', 'Renekton', 'Taliyah', 'Jax', 'Jinx', 'Tahm Kench'
'Kayle', "Rek'Sai", 'Sylas', 'Ashe', 'Nautilus', 'Vladimir', 'Lee Sin', 'Ryze', 'Caitlyn', 'Lux'
'Vladimir', 'Lee Sin', 'Qiyana', 'Jinx', 'Blitzcrank', 'Renekton', 'Elise', 'Lucian', "Kai'Sa", 'Lulu'
'Camille', 'Elise', 'Tahm Kench', "Kai'Sa", 'Morgana', 'Vladimir', 'Graves', 'Taliyah', 'Ashe', 'Thresh'
'Jayce', 'Xin Zhao', 'Vladimir', 'Xayah', 'Braum', 'Irelia', 'Nidalee', 'Ryze', 'Lucian', 'Pyke'
'Yasuo', 'Nidalee', 'Camille', 'Ashe', 'Thresh', 'Jayce', 'Ekko', 'Mordekaiser', 'Varus', 'Tahm Kench'
'Viktor', 'Graves', 'Akali', 'Ezreal', 'Alistar', 'Gangplank', 'Taliyah', 'Renekton', "Kai'Sa", 'Nautilus'
'Galio', 'Ekko', 'Vladimir', 'Jinx', 'Tahm Kench', 'Kled', 'Nidalee', 'Twisted Fate', "Kai'Sa", 'Volibear'
'Kayle', 'Olaf', 'Tristana', 'Caitlyn', 'Morgana', 'Irelia', 'Lee Sin', 'Twisted Fate', 'Miss Fortune', 'Fiddlesticks'
'Jayce', 'Gragas', 'Swain', 'Yasuo', 'Volibear', 'Irelia', 'Lee Sin', 'Zoe', 'Xayah', 'Rakan'
'Akali', 'Lee Sin', 'Qiyana', 'Xayah', 'Yuumi', 'Irelia', "Rek'Sai", 'Syndra', 'Lucian', 'Tahm Kench'
'Lucian', 'Ekko', 'Cassiopeia', 'Miss Fortune', 'Yuumi', 'Kayle', 'Nidalee', 'Camille', 'Caitlyn', 'Thresh'
'Jax', 'Ekko', 'Zoe', 'Ashe', 'Thresh', 'Garen', 'Nidalee', 'Twisted Fate', 'Caitlyn', 'Morgana'
'Gangplank', 'Soraka', 'Sejuani', 'Lux', 'Twitch', 'Shen', 'Kayle', 'Tahm Kench', 'Lee Sin', 'Ahri'
'Darius', 'Wukong', 'Kennen', 'Zed', 'LeBlanc', 'Jinx', 'Ahri', 'Taliyah', "Kog'Maw", 'Akali'
'Lucian', 'Taliyah', 'Ahri', 'Jinx', 'Pyke', 'Karma', 'Pantheon', 'Pyke', 'Jhin', 'Nautilus'
'Gangplank', 'Karthus', 'Kassadin', "Kai'Sa", 'Jarvan IV', 'Vladimir', 'Ekko', 'Akali', 'Jinx', 'Bard'
'Ryze', 'Volibear', 'Zed', 'Ashe', 'Shaco', 'Shen', 'Ekko', 'Zed', 'Lucian', 'Soraka'
'Renekton', 'Nidalee', 'Talon', 'Caitlyn', 'Miss Fortune', 'Jayce', 'Lee Sin', 'LeBlanc', 'Kayle', 'Yuumi'
'Lucian', 'Qiyana', 'Taliyah', 'Miss Fortune', 'Galio', 'Camille', 'Ekko', 'Heimerdinger', 'Quinn', 'Alistar'
'Renekton', 'Elise', 'Jayce', 'Miss Fortune', 'Pyke', 'Kennen', 'Lee Sin', 'Ryze', 'Lucian', 'Thresh'
'Jayce', 'Sylas', 'Lissandra', 'Ashe', 'Thresh', 'Malzahar', 'Olaf', 'LeBlanc', 'Varus', 'Rakan'
'Irelia', 'Ekko', 'Zoe', 'Jinx', 'Thresh', 'Jayce', "Rek'Sai", 'Karma', 'Draven', 'Pyke'
'Poppy', 'Taliyah', 'Pantheon', 'Ezreal', 'Soraka', 'Sion', 'Gragas', 'Neeko', 'Vayne', 'Yuumi'
'Lucian', 'Nidalee', 'Rumble', "Kai'Sa", 'Thresh', 'Singed', 'Taliyah', 'Qiyana', 'Xayah', 'Rakan'
'Singed', 'Karthus', 'Zoe', "Kai'Sa", 'Pyke', 'Camille', 'Gragas', 'Yasuo', 'Lucian', 'Yuumi'
'Singed', 'Gragas', 'Jayce', 'Yasuo', 'Pyke', 'Mordekaiser', 'Sylas', 'Qiyana', 'Ezreal', 'Karma'
'Sylas', 'Elise', 'Yasuo', "Kai'Sa", 'Gragas', 'Wukong', 'Karthus', 'Qiyana', 'Draven', 'Pyke'
'Jarvan IV', 'Annie', 'Viktor', 'Yuumi', 'Lulu', 'Blitzcrank', 'Tristana', 'Syndra', 'Vladimir', 'Quinn'
'Orianna', 'Xayah', 'Miss Fortune', 'Singed', 'Taliyah', 'Nami', 'Riven', 'Qiyana', 'Karma', 'Ryze'
'Akali', 'Ezreal', 'Ornn', 'Draven', 'Karma', 'Rumble', 'Nidalee', 'Malzahar', 'Sivir', 'Yuumi'
'Ryze', 'Lee Sin', 'Ornn', 'Ezreal', 'Tahm Kench', 'Sylas', 'Elise', 'Kassadin', 'Ashe', 'Leona'
'Kayle', 'Elise', 'Viktor', 'Jhin', 'Karma', 'Riven', 'Master Yi', 'Xerath', 'Yasuo', 'Graves'
'Aatrox', 'Ekko', 'Akali', 'Varus', 'Xerath', 'Jayce', 'Lee Sin', 'Nocturne', "Kai'Sa", 'Thresh'
'Garen', 'Lee Sin', 'Orianna', "Kai'Sa", 'Janna', 'Vladimir', 'Olaf', 'Nocturne', "Kai'Sa", 'Thresh'
'Akali', 'Lee Sin', 'LeBlanc', "Kai'Sa", 'Nautilus', 'Renekton', 'Karthus', 'Jayce', 'Draven', 'Thresh'
'Pantheon', 'Kindred', 'Malzahar', 'Ashe', 'Tahm Kench', 'Zoe', 'Ekko', 'Jayce', 'Draven', 'Thresh'
'Shen', 'Poppy', 'Garen', 'Varus', 'Janna', 'Kayle', 'Karthus', 'Yasuo', 'Draven', 'Thresh'
'Gangplank', "Rek'Sai", 'Malzahar', 'Draven', 'Thresh', 'Pantheon', 'Gragas', 'Aatrox', 'Varus', 'Alistar'
'Lissandra', 'Kindred', 'Heimerdinger', 'Yasuo', 'Nautilus', 'Tristana', 'Sylas', 'LeBlanc', 'Xayah', 'Shen'
'Jayce', "Kha'Zix", 'Galio', 'Jinx', 'Nautilus', 'Ryze', 'Lee Sin', 'LeBlanc', 'Ezreal', 'Tahm Kench'
'Camille', 'Elise', 'Qiyana', 'Jinx', 'Thresh', 'Renekton', 'Taliyah', 'Orianna', 'Ezreal', 'Tahm Kench'
'Camille', 'Nidalee', 'Ryze', 'Jinx', 'Thresh', 'Vladimir', 'Olaf', 'Orianna', 'Xayah', 'Rakan'
'Rengar', 'Shyvana', 'Galio', 'Ezreal', 'Rakan', "Cho'Gath", "Rek'Sai", 'Qiyana', 'Xayah', 'Nautilus'
'Jayce', 'Nidalee', 'Qiyana', "Kai'Sa", 'Gragas', 'Neeko', 'Lee Sin', 'Galio', 'Xayah', 'Rakan'
'Gangplank', 'Kindred', 'Zoe', 'Xayah', 'Pyke', 'Aatrox', 'Taliyah', 'Orianna', "Kai'Sa", 'Gragas'
'Singed', 'Lee Sin', 'Galio', 'Ezreal', 'Karma', 'Ornn', 'Kindred', 'Akali', 'Miss Fortune', 'Blitzcrank'
'Karma', 'Karthus', 'Orianna', 'Lucian', 'Nautilus', 'Shen', 'Lee Sin', 'Twisted Fate', "Kai'Sa", 'Alistar'
'Kayle', 'Olaf', 'Jayce', "Kai'Sa", 'Blitzcrank', 'Ezreal', 'Nidalee', 'Jax', 'Jinx', 'Thresh'
'Poppy', 'Nidalee', 'Jayce', "Kai'Sa", 'Nautilus', 'Twisted Fate', 'Ekko', 'Renekton', 'Jinx', 'Thresh'
'Pantheon', 'Gragas', 'Jayce', 'Yasuo', 'Rakan', 'Renekton', 'Taliyah', 'Malzahar', 'Ezreal', 'Lux'
'Karma', 'Karthus', 'Pyke', 'Xayah', 'Rakan', 'Garen', 'Ekko', 'Kayle', "Kai'Sa", 'Volibear'
'Camille', 'Karthus', 'Rumble', 'Caitlyn', 'Rakan', 'Jayce', 'Nidalee', 'Vladimir', 'Xayah', 'Morgana'
'Jayce', 'Nidalee', 'Vladimir', 'Lucian', 'Pyke', 'Kayle', 'Xin Zhao', 'Nocturne', 'Caitlyn', 'Rakan'
'Kayle', 'Graves', 'Rumble', "Kai'Sa", 'Volibear', 'Aatrox', 'Nidalee', 'Irelia', 'Miss Fortune', 'Rakan'
'Ryze', 'Jarvan IV', 'Orianna', 'Ashe', 'Tahm Kench', 'Irelia', 'Nidalee', 'Aurelion Sol', "Kai'Sa", 'Pyke'
'Irelia', 'Lee Sin', 'Twisted Fate', 'Draven', 'Thresh', 'Malphite', 'Nidalee', 'Yasuo', 'Miss Fortune', 'Blitzcrank'
'Quinn', 'Gragas', 'Lucian', 'Xayah', 'Thresh', 'Jax', 'Karthus', 'Pantheon', 'Jinx', 'Blitzcrank'
'Jayce', 'Lee Sin', 'Taliyah', 'Kalista', 'Galio', 'Qiyana', 'Gragas', 'Irelia', 'Miss Fortune', 'Nautilus'
'Ezreal', 'Lee Sin', 'LeBlanc', "Kai'Sa", 'Morgana', 'Lucian', "Rek'Sai", 'Akali', 'Jinx', 'Thresh'
'Tristana', 'Ekko', 'Orianna', 'Jinx', 'Thresh', 'Ryze', 'Lee Sin', 'LeBlanc', 'Lucian', 'Pyke'
'Renekton', 'Elise', 'Qiyana', 'Kalista', 'Thresh', 'Quinn', 'Lee Sin', 'Yasuo', 'Jinx', 'Pyke'
'Lucian', 'Olaf', 'Vladimir', 'Draven', 'Thresh', 'Ryze', 'Elise', 'Galio', 'Jinx', 'Tahm Kench'
'Fiora', 'Nidalee', 'Nocturne', 'Xayah', 'Rakan', 'Kayle', 'Kindred', 'Galio', 'Lucian', 'Leona'
'Gangplank', 'Lee Sin', 'Twisted Fate', 'Xayah', 'Blitzcrank', 'Kayle', 'Xin Zhao', 'Akali', "Kai'Sa", 'Thresh'
'Renekton', 'Aatrox', 'Twisted Fate', "Kai'Sa", 'Galio', 'Vladimir', 'Ekko', 'Qiyana', 'Xayah', 'Nautilus'
'Karma', 'Olaf', 'Galio', "Kai'Sa", 'Volibear', 'Camille', 'Jarvan IV', 'Ryze', 'Lucian', 'Yuumi'
'Kayle', 'Kindred', 'Rumble', "Kai'Sa", 'Nautilus', 'Jax', 'Nidalee', 'Qiyana', 'Jinx', 'Tahm Kench'
'Jayce', 'Lee Sin', 'LeBlanc', 'Ezreal', 'Morgana', 'Quinn', 'Nidalee', 'Pyke', 'Kalista', 'Thresh'
'Pantheon', 'Kayn', 'Karma', 'Caitlyn', 'Morgana', 'Irelia', 'Lee Sin', 'LeBlanc', 'Xayah', 'Rakan'
'Kayle', 'Lee Sin', 'Zoe', "Kai'Sa", 'Nautilus', 'Quinn', 'Kayn', 'Twisted Fate', 'Lucian', 'Braum'
'Karma', 'Elise', 'Qiyana', "Kai'Sa", 'Pyke', 'Garen', 'Ekko', 'Renekton', 'Lucian', 'Gragas'
'Jayce', 'Ekko', 'Qiyana', 'Jinx', 'Thresh', 'Pyke', 'Lee Sin', 'Talon', 'Syndra', 'Swain'
