'Galio', 'Janna', 'Vayne', 'Sona', 'Karma', 'Ezreal', 'Tryndamere', 'Skarner', 'Nidalee', 'Ziggs'
'Garen', 'Nunu & Willump', 'Zoe', 'Vayne', 'Braum', 'Jax', 'Lee Sin', 'LeBlanc', 'Draven', 'Bard'
'Darius', 'Nunu & Willump', 'Ryze', "Kai'Sa", 'Alistar', 'Nautilus', 'Graves', 'Aurelion Sol', 'Tristana', 'Leona'
'Shen', 'Ekko', 'Ahri', 'Ezreal', 'Nautilus', 'Renekton', "Kha'Zix", 'Katarina', 'Varus', 'Braum'
'Tryndamere', 'Ekko', 'Kassadin', "Kai'Sa", 'Pyke', 'Vladimir', 'Elise', 'Irelia', 'Ezreal', 'Volibear'
'Vladimir', "Rek'Sai", 'Neeko', 'Vayne', 'Nami', 'Ryze', "Kha'Zix", 'Pantheon', 'Syndra', 'Nautilus'
'Camille', 'Ekko', 'LeBlanc', "Kai'Sa", 'Nautilus', 'Kennen', 'Elise', 'Jayce', 'Xayah', 'Swain'
'Jayce', "Rek'Sai", 'LeBlanc', 'Ezreal', 'Fiddlesticks', 'Irelia', 'Ekko', 'Cassiopeia', 'Ashe', 'Lulu'
'Jayce', 'Ekko', 'Twisted Fate', "Kai'Sa", 'Shen', 'Ryze', 'Jax', 'Annie', 'Ashe', 'Bard'
'Camille', 'Shyvana', 'Zoe', 'Lucian', 'Leona', 'Poppy', "Rek'Sai", 'Karthus', "Kai'Sa", 'Blitzcrank'
'Camille', 'Rammus', 'Galio', 'Ezreal', 'Braum', 'Renekton', 'Dr. Mundo', 'Mordekaiser', 'Tristana', 'Nautilus'
'Gangplank', 'Ekko', 'Katarina', "Kai'Sa", 'Nautilus', 'Shen', 'Karthus', 'Sylas', 'Ezreal', 'Zilean'
'Poppy', 'Ekko', 'Xerath', "Kai'Sa", 'Pyke', 'Illaoi', "Rek'Sai", 'Vladimir', 'Tristana', 'Thresh'
'Jayce', 'Evelynn', 'Akali', 'Ezreal', 'Thresh', 'Kled', 'Ekko', 'Xerath', "Kai'Sa", 'Pyke'
'Mordekaiser', 'Aatrox', 'Yasuo', "Kai'Sa", 'Alistar', 'Sion', 'Ekko', 'Katarina', 'Ashe', 'Blitzcrank'
'Pantheon', 'Fiddlesticks', 'Qiyana', 'Ezreal', 'Leona', 'Vladimir', 'Shyvana', 'Katarina', 'Xayah', 'Rakan'
'Ryze', 'Gragas', 'Qiyana', 'Ashe', 'Leona', 'Renekton', 'Taliyah', 'Fizz', 'Teemo', 'LeBlanc'
'Garen', 'Shyvana', 'Talon', 'Varus', 'Bard', 'Tryndamere', 'Ekko', 'Lucian', 'Ashe', 'Leona'
'Illaoi', "Kha'Zix", 'Heimerdinger', "Kai'Sa", 'Nautilus', 'Kayle', 'Nidalee', 'Zed', 'Zilean', 'Pyke'
'Shen', 'Twitch', 'Kayle', 'Swain', 'Fiddlesticks', 'Fizz', 'Kayn', 'Jax', 'Vayne', 'Blitzcrank'
'Malphite', 'Nidalee', 'Fizz', 'Ezreal', 'Rakan', 'Darius', 'Shyvana', 'Talon', 'Syndra', 'Lux'
'Neeko', 'Elise', 'Gangplank', 'Garen', 'Pyke', 'Teemo', 'Nidalee', 'Talon', 'Jhin', 'Blitzcrank'
'Garen', 'Nidalee', 'Talon', 'Lucian', 'Pyke', 'Darius', "Rek'Sai", 'Fizz', 'Caitlyn', 'Fiddlesticks'
'Kayle', 'Lee Sin', 'Teemo', 'Heimerdinger', 'Fiddlesticks', 'Garen', 'Elise', 'Zed', "Kai'Sa", 'Nautilus'
'Fiora', 'Nidalee', 'Zed', 'Varus', 'Lux', 'Gnar', 'Rammus', 'Orianna', 'Lucian', 'Zilean'
'Fiora', 'Ekko', 'Zed', "Kai'Sa", 'Lux', 'Garen', 'Graves', 'Qiyana', 'Ezreal', 'Blitzcrank'
'Rengar', 'Elise', 'Vladimir', 'Ashe', 'Fiddlesticks', 'Garen', 'Vi', 'Qiyana', 'Xayah', 'Nami'
'Viktor', 'Zac', 'Yasuo', 'Ezreal', 'Thresh', 'Vladimir', "Kha'Zix", 'Twisted Fate', 'Ashe', 'Miss Fortune'
'Kennen', 'Lee Sin', 'Aurelion Sol', 'Ezreal', 'Bard', 'Kayle', 'Ekko', 'Ornn', 'Caitlyn', 'Karma'
'Fiora', 'Twitch', 'Neeko', 'Cassiopeia', 'Leona', 'Vladimir', 'Lee Sin', 'Zoe', 'Swain', 'Pyke'
'Kennen', 'Elise', 'Renekton', "Kai'Sa", 'Bard', 'Sylas', 'Olaf', 'Zed', 'Lucian', 'Soraka'
'Jax', "Rek'Sai", 'Kennen', 'Caitlyn', 'Leona', 'Aatrox', 'Lee Sin', 'Twisted Fate', "Kai'Sa", 'Nami'
'Darius', 'Shyvana', 'Qiyana', 'Caitlyn', 'Bard', 'Akali', 'Lee Sin', 'Rumble', 'Kalista', 'Thresh'
'Quinn', 'Lee Sin', 'Pyke', "Kai'Sa", 'Blitzcrank', 'Camille', 'Ekko', 'Yasuo', 'Lucian', 'Bard'
'Ryze', 'Olaf', 'LeBlanc', 'Jinx', 'Thresh', 'Hecarim', 'Lee Sin', 'Kassadin', 'Lucian', 'Bard'
'Renekton', 'Ekko', 'Qiyana', 'Lucian', 'Bard', 'Kayle', 'Nidalee', 'Jayce', 'Ezreal', 'Karma'
'Renekton', 'Karthus', 'Kassadin', "Kai'Sa", 'Leona', 'Kennen', 'Kindred', 'Master Yi', 'Vayne', 'Syndra'
'Yasuo', 'Lee Sin', 'Akali', 'Xayah', 'Pyke', 'Kennen', 'Shyvana', 'Sylas', 'Twitch', 'Thresh'
'Akali', 'Zac', 'Quinn', 'Xayah', 'Rakan', 'Irelia', 'Ivern', 'Lucian', 'Draven', 'Leona'
'Jayce', 'Taliyah', 'Riven', "Kai'Sa", 'Gragas', 'Malphite', 'Zac', 'Yasuo', 'Xayah', 'Rakan'
'Renekton', 'Ekko', 'Vladimir', 'Xayah', 'Rakan', 'Quinn', 'Lee Sin', 'Zoe', 'Ashe', 'Leona'
'Quinn', 'Shyvana', 'Ekko', 'Jinx', 'Blitzcrank', 'Gnar', 'Gragas', 'Malzahar', 'Lucian', 'Thresh'
'Vladimir', "Rek'Sai", 'Qiyana', 'Jhin', 'Karma', 'Irelia', 'Ekko', 'Neeko', 'Ashe', 'Nami'
'Warwick', 'Rammus', 'Syndra', "Kai'Sa", 'Lulu', 'Heimerdinger', 'Vi', 'Kassadin', 'Jinx', 'Thresh'
'Vladimir', 'Shaco', 'Akali', 'Yasuo', 'Gragas', 'Renekton', 'Shyvana', 'Garen', 'Miss Fortune', 'Morgana'
'Jayce', 'Lee Sin', 'Ahri', 'Ezreal', 'Nami', 'Teemo', 'Camille', 'Lulu', 'Twisted Fate', 'Shaco'
'Camille', 'Zac', 'Twisted Fate', "Kai'Sa", 'Pyke', 'Vladimir', 'Lee Sin', 'Zoe', 'Ashe', 'Janna'
'Kennen', 'Jarvan IV', 'Gragas', 'Caitlyn', 'Lux', 'Kled', 'Evelynn', 'Kassadin', 'Miss Fortune', 'Yuumi'
'Mordekaiser', 'Qiyana', "Vel'Koz", "Kai'Sa", 'Nautilus', "Cho'Gath", 'Nidalee', 'Fizz', 'Heimerdinger', 'Neeko'
'Irelia', 'Nunu & Willump', 'Vladimir', 'Caitlyn', 'Lux', 'Vayne', 'Ekko', 'Qiyana', "Kai'Sa", 'Pyke'
'Lucian', 'Shyvana', 'Irelia', 'Swain', 'Leona', 'Akali', 'Kayn', 'Orianna', 'Varus', 'Lulu'
'Kennen', 'Zac', 'Nasus', 'Lucian', 'Lulu', 'Pantheon', 'Taliyah', 'Qiyana', "Kai'Sa", 'Nautilus'
'Akali', 'Kayn', 'Ahri', 'Miss Fortune', 'Rakan', 'Zed', 'Lee Sin', 'Jayce', 'Tristana', 'Swain'
'Ornn', "Rek'Sai", 'Aurelion Sol', 'Xayah', 'Rakan', 'Camille', 'Elise', 'Ekko', 'Caitlyn', 'Janna'
'Jax', 'Taliyah', 'Irelia', 'Jinx', 'Nautilus', 'Kayle', 'Nidalee', 'Renekton', "Kai'Sa", 'Gragas'
'Jayce', 'Nidalee', 'Garen', 'Ezreal', 'Galio', 'Talon', 'Olaf', 'Vladimir', 'Xayah', 'Rakan'
'Jayce', 'Karthus', 'Ekko', 'Vayne', 'Blitzcrank', 'Irelia', 'Zac', 'Viktor', 'Draven', 'Nautilus'
'Shen', 'Rengar', 'Viktor', "Kai'Sa", 'Nautilus', 'Gangplank', 'Kayn', 'Zoe', 'Caitlyn', 'Morgana'
'Mordekaiser', 'Kindred', 'Aatrox', 'Ezreal', 'Blitzcrank', 'Irelia', 'Karthus', 'Jax', 'Tristana', 'Nautilus'
'Akali', 'Lee Sin', 'Pantheon', 'Lucian', 'Zyra', 'Shen', 'Olaf', 'Aurelion Sol', 'Tristana', 'Blitzcrank'
'Jax', 'Elise', 'Karthus', 'Xayah', 'Leona', 'Renekton', 'Master Yi', 'Heimerdinger', 'Vladimir', 'Blitzcrank'
'Gangplank', 'Nidalee', 'Zoe', 'Caitlyn', 'Pyke', 'Cassiopeia', 'Taliyah', 'Pantheon', "Kai'Sa", 'Nautilus'
'Garen', 'Hecarim', 'Orianna', "Kai'Sa", 'Thresh', 'Pantheon', 'Taliyah', 'Irelia', 'Lucian', 'Nautilus'
'Riven', 'Taliyah', 'Talon', 'Miss Fortune', 'Blitzcrank', 'Zed', 'Master Yi', 'Akali', 'Jhin', 'Alistar'
'Urgot', 'Gragas', 'Viktor', 'Lucian', 'Rakan', 'Mordekaiser', 'Nidalee', 'Katarina', 'Xayah', 'Morgana'
'Riven', 'Elise', 'Viktor', "Kai'Sa", 'Leona', 'Aatrox', 'Karthus', 'Kayle', 'Jinx', 'Braum'
'Kled', 'Shyvana', 'Twisted Fate', 'Lucian', 'Pyke', 'Darius', 'Jarvan IV', 'Sylas', "Kai'Sa", 'Nautilus'
'Fiora', 'Nidalee', 'Xerath', 'Miss Fortune', 'Nautilus', 'Shyvana', 'Taliyah', 'Aatrox', 'Ezreal', 'Leona'
'Jayce', 'Gragas', 'Nocturne', "Kai'Sa", 'Nautilus', 'Poppy', 'Lee Sin', 'Fizz', 'Xayah', 'Leona'
'Neeko', 'Lee Sin', 'Yasuo', "Kai'Sa", 'Zyra', 'Irelia', 'Olaf', 'Syndra', 'Ezreal', 'Karma'
'Camille', 'Nidalee', 'Talon', 'Ezreal', 'Volibear', 'Jax', 'Jarvan IV', 'Sylas', 'Jinx', 'Rakan'
'Rengar', 'Lee Sin', 'Sylas', 'Lucian', 'Alistar', 'Darius', 'Karthus', 'Galio', 'Xayah', 'Leona'
'Renekton', 'Kindred', 'Cassiopeia', 'Lucian', 'Thresh', 'Taric', 'Master Yi', 'Akali', 'Ezreal', 'Fiddlesticks'
'Tryndamere', 'Karthus', 'Ahri', "Kai'Sa", 'Bard', 'Jax', 'Jarvan IV', 'Twisted Fate', 'Tristana', 'Morgana'
'Fiora', 'Nidalee', 'Veigar', 'Miss Fortune', 'Nautilus', 'Gragas', 'Lee Sin', 'Rumble', 'Jhin', 'Blitzcrank'
'Karma', 'Lee Sin', 'Ryze', 'Lucian', 'Blitzcrank', 'Gangplank', 'Ekko', 'Galio', 'Caitlyn', 'Pyke'
'Malphite', 'Lee Sin', 'Ryze', 'Lucian', 'Nautilus', 'Ornn', 'Kindred', 'Vladimir', 'Sivir', 'Blitzcrank'
'Ornn', 'Lee Sin', 'Swain', 'Ezreal', 'Karma', 'Lucian', "Rek'Sai", 'Zoe', 'Ashe', 'Leona'
'Jayce', 'Nidalee', 'Garen', 'Ezreal', 'Galio', 'Talon', 'Olaf', 'Vladimir', 'Xayah', 'Rakan'
'Garen', 'Tryndamere', 'Viktor', 'Jhin', 'Yuumi', 'Viktor', 'Aatrox', 'Galio', 'Miss Fortune', 'Leona'
'Kayle', 'Zac', 'Lulu', "Kai'Sa", 'Blitzcrank', 'Camille', 'Lee Sin', 'Gragas', 'Ashe', 'Nautilus'
'Teemo', 'Jarvan IV', 'Nocturne', 'Jinx', 'Gragas', 'Darius', 'Elise', 'Viktor', 'Ashe', 'Xerath'
'Darius', 'Nunu & Willump', 'Galio', 'Miss Fortune', 'Blitzcrank', 'Maokai', 'Elise', 'Irelia', 'Vayne', 'Brand'
'Sylas', 'Lee Sin', 'Garen', 'Ashe', 'Karma', 'Gnar', 'Ekko', 'Riven', "Kai'Sa", 'Shen'
'Jax', 'Gragas', 'Katarina', "Kai'Sa", 'Nautilus', 'Kled', 'Elise', 'LeBlanc', 'Ezreal', 'Tahm Kench'
'Vladimir', 'Xin Zhao', 'Shyvana', 'Ezreal', 'Sona', 'Camille', 'Ekko', 'Azir', 'Ashe', 'Lulu'
'Riven', 'Shyvana', 'Garen', 'Miss Fortune', 'Thresh', 'Pantheon', 'Olaf', 'Akali', "Kai'Sa", 'Fiddlesticks'
'Urgot', 'Ekko', 'Galio', 'Ezreal', 'Braum', 'Kayle', 'Lee Sin', 'Ahri', "Kai'Sa", 'Pyke'
'Irelia', "Rek'Sai", 'Cassiopeia', 'Xayah', 'Blitzcrank', 'Mordekaiser', 'Jarvan IV', 'Zed', 'Jinx', 'Thresh'
'Fiora', 'Taliyah', 'Orianna', "Kai'Sa", 'Leona', 'Kayle', "Rek'Sai", 'Zilean', 'Ashe', 'Pyke'
'Renekton', "Rek'Sai", 'Veigar', "Kai'Sa", 'Lulu', 'Vladimir', 'Olaf', 'Zoe', 'Twitch', 'Thresh'
'Aatrox', 'Lee Sin', 'Akali', 'Ashe', 'Zac', 'Gangplank', 'Nidalee', 'Lissandra', 'Xayah', 'Pyke'
'Pantheon', 'Nidalee', 'Fizz', 'Ashe', 'Alistar', 'Jarvan IV', 'Ekko', 'Corki', 'Miss Fortune', 'Nautilus'
'Jayce', 'Ekko', 'Zoe', "Kai'Sa", 'Gragas', 'Irelia', 'Lee Sin', 'Ryze', 'Lucian', 'Leona'
'Gangplank', 'Zac', 'Ryze', 'Miss Fortune', 'Tahm Kench', 'Akali', 'Lee Sin', 'Zed', 'Ashe', 'Alistar'
'Rengar', 'Taliyah', 'Fizz', 'Heimerdinger', 'Nautilus', 'Volibear', 'Nidalee', 'Irelia', 'Jinx', 'Thresh'
'Vladimir', 'Kindred', 'Teemo', "Kai'Sa", 'Bard', 'Kayle', 'Lee Sin', 'Twisted Fate', 'Ezreal', 'Braum'
'Rumble', 'Shyvana', 'Aatrox', "Kai'Sa", 'Leona', 'Shen', 'Ekko', 'Qiyana', 'Ezreal', 'Thresh'
'Olaf', 'Kayn', 'Sylas', "Kai'Sa", 'Bard', 'Kled', 'Ekko', 'Ryze', 'Tristana', 'Soraka'
'Renekton', 'Elise', 'Galio', 'Ashe', 'Morgana', 'Kennen', 'Lee Sin', 'LeBlanc', 'Jinx', 'Thresh'
'Garen', 'Elise', 'Galio', 'Jinx', 'Thresh', 'Fiora', 'Ekko', 'Zoe', "Kai'Sa", 'Nautilus'
'Darius', 'Ekko', 'Ryze', "Kai'Sa", 'Blitzcrank', 'Jayce', 'Lee Sin', 'Sylas', 'Xayah', 'Rakan'
'Malphite', 'Lee Sin', 'Yasuo', 'Ezreal', 'Nautilus', 'Kayle', 'Ekko', 'LeBlanc', "Kai'Sa", 'Fiddlesticks'
'Aatrox', 'Nidalee', 'Qiyana', 'Jhin', 'Pyke', 'Vayne', 'Lee Sin', 'Zoe', "Kai'Sa", 'Rakan'
'Kennen', 'Kayn', 'Kayle', 'Ezreal', 'Karma', 'Renekton', 'Jarvan IV', 'Yasuo', "Kai'Sa", 'Alistar'
'Fiora', 'Elise', 'Twisted Fate', "Kai'Sa", 'Leona', 'Vladimir', 'Rammus', 'Kayle', 'Xayah', 'Taric'
'Renekton', 'Gragas', 'Vladimir', 'Ezreal', 'Braum', 'Lucian', 'Elise', 'Orianna', "Kai'Sa", 'Nautilus'
'Riven', 'Nidalee', 'Zoe', "Kai'Sa", 'Nautilus', 'Kayle', 'Lee Sin', 'Katarina', 'Ashe', 'Braum'
'Gangplank', 'Rengar', 'Yasuo', "Kai'Sa", 'Nautilus', 'Renekton', 'Lee Sin', 'Sylas', 'Syndra', 'Soraka'
'Pantheon', 'Nidalee', 'Lissandra', 'Caitlyn', 'Leona', 'Gangplank', 'Rengar', 'Malzahar', 'Ezreal', 'Bard'
'Renekton', 'Elise', 'Twisted Fate', 'Jinx', 'Thresh', 'Tristana', 'Nidalee', 'Jax', 'Ezreal', 'Tahm Kench'
'Vladimir', 'Jarvan IV', 'LeBlanc', 'Ezreal', 'Shen', 'Pantheon', 'Elise', 'Pyke', 'Lucian', 'Bard'
'Yasuo', 'Elise', 'Kled', 'Xayah', 'Blitzcrank', 'Akali', 'Olaf', 'Garen', "Kai'Sa", 'Alistar'
'Camille', 'Shyvana', 'Zed', 'Garen', 'Yuumi', 'Kayle', 'Kindred', 'Pantheon', 'Xayah', 'Leona'
'Kled', 'Karthus', 'Talon', 'Ashe', 'Blitzcrank', 'Rengar', 'Elise', 'Camille', 'Miss Fortune', 'Poppy'
'Shen', "Rek'Sai", 'Zoe', 'Jinx', 'Thresh', 'Kayle', 'Karthus', 'Qiyana', 'Jhin', 'Soraka'
'Poppy', 'Master Yi', 'Yasuo', 'Ezreal', 'Wukong', 'Renekton', 'Jarvan IV', 'Garen', "Kai'Sa", 'Nautilus'
'Renekton', 'Lee Sin', 'Garen', "Kai'Sa", 'Thresh', 'Shen', 'Pantheon', 'Cassiopeia', 'Ezreal', 'Fiddlesticks'
'Urgot', 'Ekko', 'Syndra', 'Lucian', 'Yuumi', 'Poppy', 'Hecarim', 'Zoe', "Kai'Sa", 'Rakan'
'Shen', 'Lee Sin', 'Pyke', "Kai'Sa", 'Lulu', 'Camille', 'Hecarim', 'Irelia', 'Ashe', 'Soraka'
'Vayne', 'Elise', 'Ezreal', 'Pantheon', 'Lee Sin', 'Fizz', 'Lux', 'Xin Zhao', 'Caitlyn', 'Karma'
'Rumble', 'Kindred', 'Zac', 'Xayah', 'Thresh', 'Ryze', 'Shyvana', 'Akali', 'Lucian', 'Morgana'
'Irelia', 'Xin Zhao', 'Jax', 'Ashe', 'Alistar', 'Lissandra', 'Nunu & Willump', 'Yasuo', 'Kalista', 'Galio'
'Renekton', 'Taliyah', 'Camille', "Kai'Sa", 'Pyke', 'Rengar', 'Lee Sin', 'Ahri', 'Lucian', 'Poppy'
'Sylas', 'Graves', 'Rumble', 'Jhin', 'Morgana', 'Darius', 'Nunu & Willump', 'Katarina', 'Ashe', 'Nautilus'
'Camille', 'Nidalee', 'LeBlanc', "Kai'Sa", 'Poppy', 'Kennen', 'Lee Sin', 'Twisted Fate', 'Ashe', 'Braum'
'Ashe', 'Jhin', 'Syndra', 'Janna', 'Rammus', 'Neeko', 'Lissandra', 'Poppy', 'Corki', 'Kindred'
'Karma', 'Gragas', 'Veigar', 'Soraka', 'Aatrox', 'Zoe', 'Pantheon', 'Blitzcrank', 'Ahri', 'Quinn'
'Lee Sin', 'Malzahar', 'Twisted Fate', 'Urgot', 'Skarner', "Kog'Maw", 'Karma', 'Cassiopeia', 'Thresh', 'Fiora'
'LeBlanc', 'Gnar', "Kai'Sa", 'Miss Fortune', 'Blitzcrank', "Cho'Gath", 'Vayne', 'Xerath', 'Orianna', 'Karthus'
'Ashe', 'Master Yi', 'Ornn', 'Shaco', 'Poppy', 'Jayce', 'Aurelion Sol', 'Gragas', "Kha'Zix", 'Maokai'
'Malphite', 'Jax', 'Kayle', 'Jayce', 'Ryze', 'Quinn', 'Taliyah', 'Teemo', 'Swain', 'Kennen'
'Xerath', 'Hecarim', 'Dr. Mundo', 'Neeko', 'Galio', 'Soraka', 'Amumu', 'Garen', 'Nasus', 'Fizz'
'Shen', 'Lee Sin', 'Akali', 'Lucian', 'Blitzcrank', 'Viktor', 'Nidalee', 'Talon', 'Ezreal', 'Braum'
'Shen', 'Shyvana', 'Talon', 'Ezreal', 'Karma', 'Jhin', 'Lee Sin', 'Rengar', 'Akali', 'Alistar'
'Shen', "Rek'Sai", 'Twisted Fate', 'Miss Fortune', 'Morgana', 'Jax', "Kha'Zix", 'Zac', 'Lucian', 'Pyke'
'Shen', 'Karthus', 'Akali', 'Jinx', 'Yuumi', 'Jax', 'Fiddlesticks', 'Zoe', 'Ashe', 'Pyke'
'Garen', 'Lee Sin', 'Zoe', "Kai'Sa", 'Bard', 'Shen', 'Taliyah', 'Nocturne', 'Ashe', 'Leona'
'Viktor', 'Karthus', 'Kayle', 'Vayne', 'Nautilus', 'Shen', 'Zac', 'Orianna', 'Lucian', 'Blitzcrank'
'Bard', 'Kayn', 'Pantheon', 'Ezreal', 'Graves', 'Shen', "Kha'Zix", 'Ryze', 'Miss Fortune', 'Janna'
'Renekton', 'Elise', 'Shen', "Kai'Sa", 'Thresh', 'Master Yi', 'Nidalee', 'Kennen', 'Lucian', 'Soraka'
'Garen', 'Rammus', 'Pyke', 'Ezreal', 'Ahri', 'Aatrox', 'Volibear', 'LeBlanc', 'Twisted Fate', 'Morgana'
'Garen', "Kha'Zix", 'Vladimir', 'Miss Fortune', 'Nautilus', 'Garen', 'Ekko', 'Xerath', 'Xayah', 'Brand'
'Ornn', 'Lee Sin', 'Ahri', 'Xayah', 'Karma', 'Aatrox', 'Elise', 'Talon', "Kai'Sa", 'Blitzcrank'
'Jayce', 'Pantheon', 'Mordekaiser', 'Jinx', 'Ahri', 'Yasuo', 'Poppy', 'Dr. Mundo', 'Ezreal', 'Blitzcrank'
'Singed', 'Shaco', 'Renekton', 'Jinx', 'Blitzcrank', 'Teemo', 'Shyvana', 'Miss Fortune', "Kai'Sa", 'Ashe'
'Hecarim', 'Malphite', 'Yasuo', 'Ezreal', 'Blitzcrank', 'Quinn', 'Lee Sin', 'LeBlanc', 'Caitlyn', 'Morgana'
'Heimerdinger', 'Shaco', 'Rumble', 'Veigar', 'Ziggs', 'Yasuo', 'Lee Sin', 'Heimerdinger', 'Varus', 'Sona'
'Vladimir', 'Gragas', 'Zed', 'Ezreal', 'Lee Sin', 'Janna', 'Gragas', 'Azir', "Kai'Sa", 'Nautilus'
'Jax', 'Ekko', 'Sylas', 'Jinx', 'Nautilus', 'Quinn', 'Nidalee', 'LeBlanc', 'Ezreal', 'Lux'
'Garen', 'Gragas', 'Yasuo', 'Ezreal', 'Lee Sin', 'Quinn', 'Nidalee', 'Akali', 'Lucian', 'Rakan'
'Lucian', 'Graves', 'LeBlanc', 'Caitlyn', 'Bard', 'Vladimir', 'Elise', 'Katarina', 'Jhin', 'Leona'
'Renekton', 'Ekko', 'Twisted Fate', 'Draven', 'Blitzcrank', 'Quinn', 'Karthus', 'Akali', 'Ezreal', 'Janna'
'Camille', 'Xin Zhao', 'Yasuo', "Kai'Sa", 'Nautilus', 'Kayle', 'Pantheon', 'Vladimir', 'Vayne', 'Morgana'
'Camille', 'Ivern', 'Yasuo', 'Vayne', 'Nami', 'Sylas', 'Taliyah', 'Twisted Fate', 'Caitlyn', 'Zyra'
'Lucian', 'Taliyah', 'Twisted Fate', "Kai'Sa", 'Fiddlesticks', 'Akali', 'Ivern', 'Yasuo', 'Twitch', 'Soraka'
'Jax', 'Taliyah', 'Renekton', 'Lucian', 'Leona', 'Riven', 'Elise', 'Nunu & Willump', 'Jinx', 'Zyra'
'Kled', 'Taliyah', 'Kassadin', 'Ezreal', 'Morgana', 'Akali', 'Lee Sin', 'Rakan', "Kai'Sa", 'Galio'
"Kha'Zix", 'Karthus', 'Lucian', 'Veigar', 'Orianna', 'Shaco', 'Zoe', 'Bard', 'Jarvan IV', 'Zilean'
'Fiddlesticks', 'Twisted Fate', 'Ezreal', 'Garen', 'Galio', 'Varus', 'Lissandra', 'Kindred', 'Urgot', 'Soraka'
'Urgot', 'Katarina', 'Vayne', 'Viktor', 'Zilean', 'Kindred', 'Olaf', 'Draven', 'LeBlanc', 'Zoe'
'Caitlyn', 'Alistar', 'Yasuo', 'Kalista', 'Nunu & Willump', 'Kennen', 'Lucian', 'Irelia', 'Heimerdinger', 'Lulu'
'Darius', 'Rengar', 'Kassadin', 'Annie', 'Gangplank', 'Braum', 'Zed', 'Bard', 'Singed', 'Nunu & Willump'
'Aatrox', 'Elise', 'Qiyana', 'Lucian', 'Bard', 'Ryze', 'Nidalee', 'Lissandra', 'Ezreal', 'Volibear'
'Shen', 'Graves', 'Galio', "Kai'Sa", 'Rakan', 'Viktor', 'Lee Sin', 'LeBlanc', 'Caitlyn', 'Lux'
'Renekton', 'Ekko', 'Lulu', 'Yasuo', 'Rakan', 'Mordekaiser', 'Evelynn', 'Pyke', 'Vayne', 'Janna'
'Garen', 'Lee Sin', 'Cassiopeia', 'Varus', 'Lulu', 'Viktor', 'Elise', 'Renekton', 'Xayah', 'Karma'
'Irelia', 'Camille', 'Galio', 'Ashe', 'Pyke', 'Renekton', 'Lee Sin', 'Akali', "Kai'Sa", 'Nautilus'
'Ryze', 'Nidalee', 'Talon', 'Ezreal', 'Tahm Kench', 'Irelia', 'Karthus', 'Kayle', 'Lucian', 'Shen'
'Jayce', 'Olaf', 'Zilean', "Kai'Sa", 'Blitzcrank', 'Yorick', 'Elise', 'Azir', 'Lucian', 'Karma'
'Shen', 'Olaf', "Vel'Koz", 'Xayah', 'Karma', 'Jax', 'Lee Sin', 'Akali', 'Caitlyn', 'Nautilus'
'Garen', 'Fiddlesticks', 'Annie', "Kai'Sa", 'Pyke', 'Viktor', 'Leona', 'Neeko', 'Ashe', 'Pyke'
'Kennen', 'Lee Sin', 'Lissandra', 'Ezreal', 'Rakan', 'Aatrox', 'Nidalee', "Vel'Koz", 'Ashe', 'Thresh'
'Gangplank', 'Ashe', 'Jayce', 'Graves', 'Ziggs', 'Garen', 'Master Yi', 'Neeko', 'Lulu', 'Tristana'
'Skarner', 'Gragas', 'Yasuo', 'Ezreal', 'Shen', 'Garen', 'Kayn', 'Katarina', 'Lucian', 'Neeko'
'Tristana', 'Lee Sin', 'Gragas', 'Ashe', 'Zyra', 'Vayne', 'Shaco', 'Yasuo', "Kai'Sa", 'Maokai'
'Jhin', 'Jinx', 'Nasus', 'Leona', 'Neeko', 'Wukong', 'Alistar', 'Sivir', 'Kassadin', 'Ahri'
'Garen', 'Lee Sin', 'Kayle', "Kai'Sa", 'Morgana', 'Fiora', 'Kindred', 'Jayce', 'Ezreal', 'Leona'
'Irelia', "Rek'Sai", 'Zilean', 'Lucian', 'Blitzcrank', 'Kayle', 'Lee Sin', 'Twisted Fate', 'Xayah', 'Leona'
'Vayne', 'Ivern', 'Garen', "Kai'Sa", 'Leona', 'Kayle', 'Lee Sin', 'Lulu', 'Ashe', 'Blitzcrank'
'Camille', 'Nidalee', 'Gragas', 'Miss Fortune', 'Leona', 'Singed', 'Kindred', 'Akali', 'Lucian', 'Pyke'
'Ryze', 'Kayn', 'Talon', 'Xayah', 'Rakan', 'Irelia', 'Lee Sin', 'Lissandra', 'Lucian', 'Bard'
'Ryze', 'Hecarim', 'Pyke', 'Ezreal', 'Karma', 'Darius', 'Lee Sin', 'Lissandra', 'Lucian', 'Yuumi'
'Pantheon', "Rek'Sai", 'Garen', 'Xayah', 'Leona', 'Heimerdinger', 'Lee Sin', 'Akali', 'Caitlyn', 'Bard'
'Rengar', 'Elise', 'Jayce', "Kai'Sa", 'Pyke', 'Kayle', "Kha'Zix", 'Zed', 'Tristana', 'Rakan'
'Gangplank', 'Lee Sin', 'Aurelion Sol', 'Miss Fortune', 'Pyke', 'Kled', 'Gragas', 'Nocturne', 'Lucian', 'Bard'
'Sion', "Kha'Zix", 'Taliyah', "Kai'Sa", 'Nautilus', 'Rengar', 'Olaf', 'Quinn', 'Lucian', 'Thresh'
'Karma', 'Lee Sin', 'Ryze', 'Lucian', 'Thresh', 'Garen', 'Master Yi', 'Taric', 'Sivir', 'Lux'
